625.6475,16,16
11733.88,16,13
11833.76,16,20
11326.76,16,18
16788.4,16,50
12819.34,16,55
2353.257,16,8
9080.545,16,9
11214.51,16,17
1128.317,16,42
19297.47,16,7
4706.263,16,35
11836.83,16,46
11934.32,16,3
12089.47,16,23
10188.35,16,47
11838.13,16,40
10065.85,16,10
12971.3,16,30
11072.25,16,4
11147.48,16,5
11711.41,16,31
18478.89,16,24
11957.08,16,48
15235.78,16,22
15817.92,16,12
11012.97,16,39
13803.13,16,34
12241.62,16,33
11173.56,16,6
18372.04,16,2
15665.25,16,56
14774.54,16,59
9348.923,16,52
7397.651,16,11
15970.66,16,37
8446.602,16,53
11466.75,16,14
12270.74,16,25
9729.112,16,44
15622.21,16,43
3133.925,16,45
17801.66,16,41
12351.58,16,27
9621.854,16,32
12249.37,16,51
13505.36,16,15
12880.18,16,28
15891.11,16,38
11879.9,16,57
12585.03,16,19
16890.18,16,26
10668.78,16,58
12502.27,16,21
12845.99,16,49
8403.226,16,1
5114.314,16,36
17877.15,16,54
8145.136,16,29
11733.88,13,16
1042.817,13,13
15931.75,13,20
16734.73,13,18
9022.997,13,50
15134.58,13,55
14070.8,13,8
16123,13,9
16612.46,13,17
11326.56,13,42
9018.307,13,7
14362.09,13,35
16054.59,13,46
16082.09,13,3
16052.43,13,23
16998.09,13,47
14279.4,13,40
17591.48,13,10
15227.52,13,30
16938.09,13,4
17001.95,13,5
15219.61,13,31
7393.697,13,24
15733.1,13,48
5410.656,13,22
10363.85,13,12
17255.5,13,39
12821.57,13,34
14058.72,13,33
16232.27,13,6
7958.28,13,2
12234.77,13,56
8620.451,13,59
17836.17,13,52
13185.67,13,11
6532.159,13,37
15205.16,13,53
16644.24,13,14
15992.95,13,25
2397.488,13,44
11015.89,13,43
12861.16,13,45
6300.282,13,41
15575.86,13,27
18069.91,13,32
15161.69,13,51
14491.46,13,15
12640.23,13,28
6217.666,13,38
15872.67,13,57
15625.38,13,19
7484.506,13,26
16362.34,13,58
14512.6,13,21
14913.19,13,49
15961.95,13,1
15469.75,13,36
